,Mãos,Dedos,Local da Articulação,Movimento,Expressão Facial
1,0,0,0,0,0
2,1,1,1,1,1
3,1,1,1,1,1
4,1,1,1,1,1
5,0,0,0,0,0
6,1,1,1,1,1
7,1,1,1,1,1
8,0,0,0,0,0
9,1,1,1,1,1
10,1,1,1,1,1
11,1,1,1,1,1
12,0,0,0,0,0
13,1,1,1,1,1
14,1,1,1,1,1
15,1,1,1,1,1
16,0,0,0,0,0
17,1,1,1,1,1
18,0,0,0,0,0
19,1,1,1,1,1
20,1,1,1,1,1
21,0,0,0,0,0
22,1,1,1,1,1
23,1,1,1,1,1
24,0,0,0,0,0
25,1,1,1,1,1
26,1,1,1,1,1
27,0,0,0,0,0
28,1,1,1,1,1
29,1,1,1,1,1
30,1,1,1,1,1
31,0,0,0,0,0
32,1,1,1,1,1
33,1,1,1,1,1
34,0,0,0,0,0
35,1,1,1,1,1
36,1,1,1,1,1
37,0,0,0,0,0
38,1,1,1,1,1
39,1,1,1,1,1
40,0,0,0,0,0
41,1,1,1,1,1
42,1,1,1,1,1
43,0,0,0,0,0
44,1,1,1,1,1
45,0,0,0,0,0
46,1,1,1,1,1
47,1,1,1,1,1
48,0,0,0,0,0
49,1,1,1,1,1
50,1,1,1,1,1
51,0,0,0,0,0
52,1,1,1,1,1
53,0,0,0,0,0
54,1,1,1,1,1
55,1,1,1,1,1
56,1,1,1,1,1
57,0,0,0,0,0
58,1,1,1,1,1
59,1,1,1,1,1
60,0,0,0,0,0
61,1,1,1,1,1
62,1,1,1,1,1
63,1,1,1,1,1
64,0,0,0,0,0
65,1,1,1,1,1
66,1,1,1,1,1
67,1,1,1,1,1
68,0,0,0,0,0
69,1,1,1,1,1
70,1,1,1,1,1
71,1,1,1,1,1
72,1,1,1,1,1
73,0,0,0,0,0
74,0,0,0,0,0
75,1,1,1,1,1
76,1,1,1,1,1
77,1,1,1,1,1
78,0,0,0,0,0
79,1,1,1,1,1
80,1,1,1,1,1
81,0,0,0,0,0
82,1,1,1,1,1
83,1,1,1,1,1
84,0,0,0,0,0
85,1,1,1,1,1
86,1,1,1,1,1
87,0,0,0,0,0
88,1,1,1,1,1
89,0,0,0,0,0
90,1,1,1,1,1
91,1,1,1,1,1
92,1,1,1,1,1
93,1,1,1,1,1
94,0,0,0,0,0
95,1,1,1,1,1
96,1,1,1,1,1
97,1,1,1,1,1
98,0,0,0,0,0
99,1,1,1,1,1
100,1,1,1,1,1
101,0,0,0,0,0
102,1,1,1,1,1
103,1,1,1,1,1
104,0,0,0,0,0
105,1,1,1,1,1
106,1,1,1,1,1
107,0,0,0,0,0
108,1,1,1,1,1
109,0,0,0,0,0
110,1,1,1,1,1
111,1,1,1,1,1
112,0,0,0,0,0
113,1,1,1,1,1
114,0,0,0,0,0
115,1,1,1,1,1
116,1,1,1,1,1
117,0,0,0,0,0
118,1,1,1,1,1
119,1,1,1,1,1
120,0,0,0,0,0
121,1,1,1,1,1
122,1,1,1,1,1
123,0,0,0,0,0
124,1,1,1,1,1
125,0,0,0,0,0
126,1,1,1,1,1
127,1,1,1,1,1
128,0,0,0,0,0
129,1,1,1,1,1
130,1,1,1,1,1
131,1,1,1,1,1
132,0,0,0,0,0
133,0,0,0,0,0
134,1,1,1,1,1
135,0,0,0,0,0
136,1,1,1,1,1
137,1,1,1,1,1
138,0,0,0,0,0
139,1,1,1,1,1
140,1,1,1,1,1
141,1,1,1,1,1
142,0,0,0,0,0
143,0,0,0,0,0
144,1,1,1,1,1
145,1,1,1,1,1
146,0,0,0,0,0
147,1,1,1,1,1
148,1,1,1,1,1
149,0,0,0,0,0
150,1,1,1,1,1
151,1,1,1,1,1
152,1,1,1,1,1
153,0,0,0,0,0
154,1,1,1,1,1
155,1,1,1,1,1
156,0,0,0,0,0
157,1,1,1,1,1
158,1,1,1,1,1
159,0,0,0,0,0
160,1,1,1,1,1
161,1,1,1,1,1
162,0,0,0,0,0
163,1,1,1,1,1
164,1,1,1,1,1
165,1,1,1,1,1
166,0,0,0,0,0
167,1,1,1,1,1
168,1,1,1,1,1
169,0,0,0,0,0
170,1,1,1,1,1
171,0,0,0,0,0
172,0,0,0,0,0
173,1,1,1,1,1
174,1,1,1,1,1
175,0,0,0,0,0
176,1,1,1,1,1
177,1,1,1,1,1
178,1,1,1,1,1
179,0,0,0,0,0
180,1,1,1,1,1
181,1,1,1,1,1
182,1,1,1,1,1
183,0,0,0,0,0
184,1,1,1,1,1
185,0,0,0,0,0
186,1,1,1,1,1
187,1,1,1,1,1
188,1,1,1,1,1
189,0,0,0,0,0
190,1,1,1,1,1
191,1,1,1,1,1
192,1,1,1,1,1
193,0,0,0,0,0
194,1,1,1,1,1
195,1,1,1,1,1
196,1,1,1,1,1
197,0,0,0,0,0
198,1,1,1,1,1
199,0,0,0,0,0
200,1,1,1,1,1
201,1,1,1,1,1
202,0,0,0,0,0
203,0,0,0,0,0
204,1,1,1,1,1
205,1,1,1,1,1
206,0,0,0,0,0
207,1,1,1,1,1
208,0,0,0,0,0
209,1,1,1,1,1
210,1,1,1,1,1
211,1,1,1,1,1
212,0,0,0,0,0
213,1,1,1,1,1
214,1,1,1,1,1
215,0,0,0,0,0
216,1,1,1,1,1
217,1,1,1,1,1
218,0,0,0,0,0
219,1,1,1,1,1
220,1,1,1,1,1
221,0,0,0,0,0
222,1,1,1,1,1
223,1,1,1,1,1
224,0,0,0,0,0
225,1,1,1,1,1
226,0,0,0,0,0
227,1,1,1,1,1
228,1,1,1,1,1
229,1,1,1,1,1
230,0,0,0,0,0
231,1,1,1,1,1
232,0,0,0,0,0
233,1,1,1,1,1
234,1,1,1,1,1
235,0,0,0,0,0
236,0,0,0,0,0
237,1,1,1,1,1
238,0,0,0,0,0
239,1,1,1,1,1
240,0,0,0,0,0
241,1,1,1,1,1
242,0,0,0,0,0
243,1,1,1,1,1
244,1,1,1,1,1
245,0,0,0,0,0
246,1,1,1,1,1
247,1,1,1,1,1
248,0,0,0,0,0
249,1,1,1,1,1
250,0,0,0,0,0
251,1,1,1,1,1
252,0,0,0,0,0
253,1,1,1,1,1
254,0,0,0,0,0
255,1,1,1,1,1
256,1,1,1,1,1
257,1,1,1,1,1
258,0,0,0,0,0
259,1,1,1,1,1
260,1,1,1,1,1
261,0,0,0,0,0
262,1,1,1,1,1
263,0,0,0,0,0
264,1,1,1,1,1
265,0,0,0,0,0
266,1,1,1,1,1
267,1,1,1,1,1
268,1,1,1,1,1
269,0,0,0,0,0
270,1,1,1,1,1
271,1,1,1,1,1
272,0,0,0,0,0
273,1,1,1,1,1
